Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
1/1/2012 0:00,-1.8,-3.9,86,4,8,101.24,Fog
1/1/2012 1:00,-1.8,-3.7,87,4,8,101.24,Fog
1/1/2012 2:00,-1.8,-3.4,89,7,4,101.26,"Freezing Drizzle,Fog"
1/1/2012 3:00,-1.5,-3.2,88,6,4,101.27,"Freezing Drizzle,Fog"
1/1/2012 4:00,-1.5,-3.3,88,7,4.8,101.23,Fog
1/1/2012 5:00,-1.4,-3.3,87,9,6.4,101.27,Fog
1/1/2012 6:00,-1.5,-3.1,89,7,6.4,101.29,Fog
1/1/2012 7:00,-1.4,-3.6,85,7,8,101.26,Fog
1/1/2012 8:00,-1.4,-3.6,85,9,8,101.23,Fog
1/1/2012 9:00,-1.3,-3.1,88,15,4,101.2,Fog
1/1/2012 10:00,-1,-2.3,91,9,1.2,101.15,Fog
1/1/2012 11:00,-0.5,-2.1,89,7,4,100.98,Fog
1/1/2012 12:00,-0.2,-2,88,9,4.8,100.79,Fog
1/1/2012 13:00,0.2,-1.7,87,13,4.8,100.58,Fog
1/1/2012 14:00,0.8,-1.1,87,20,4.8,100.31,Fog
1/1/2012 15:00,1.8,-0.4,85,22,6.4,100.07,Fog
1/1/2012 16:00,2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy
1/1/2012 17:00,3,0,81,13,16.1,99.81,Cloudy
1/1/2012 18:00,3.8,1,82,15,12.9,99.74,Rain
1/1/2012 19:00,3.1,1.3,88,15,12.9,99.68,Rain
1/1/2012 20:00,3.2,1.3,87,19,25,99.5,Cloudy
1/1/2012 21:00,4,1.7,85,20,25,99.39,Cloudy
1/1/2012 22:00,4.4,1.9,84,24,19.3,99.32,Rain Showers
1/1/2012 23:00,5.3,2,79,30,25,99.31,Cloudy
1/2/2012 0:00,5.2,1.5,77,35,25,99.26,Rain Showers
1/2/2012 1:00,4.6,0,72,39,25,99.26,Cloudy
1/2/2012 2:00,3.9,-0.9,71,32,25,99.26,Mostly Cloudy
1/2/2012 3:00,3.7,-1.5,69,33,25,99.3,Mostly Cloudy
1/2/2012 4:00,2.9,-2.3,69,32,25,99.26,Mostly Cloudy
1/2/2012 5:00,2.6,-2.3,70,32,25,99.21,Mostly Cloudy
1/2/2012 6:00,2.3,-2.6,70,26,25,99.18,Mostly Cloudy
1/2/2012 7:00,2,-2.9,70,33,25,99.14,Mostly Cloudy
1/2/2012 8:00,1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy
1/2/2012 9:00,1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy
1/2/2012 10:00,1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy
1/2/2012 11:00,2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy
1/2/2012 12:00,1.7,-6.2,56,48,24.1,99.21,Mainly Clear
1/2/2012 13:00,1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy
1/2/2012 14:00,1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy
1/2/2012 15:00,0,-7,59,33,24.1,99.41,Mostly Cloudy
1/2/2012 16:00,-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy
1/2/2012 17:00,-2.1,-9.5,57,22,25,99.66,Snow Showers
1/2/2012 18:00,-4.1,-11.4,57,28,25,99.86,Mostly Cloudy
1/2/2012 19:00,-4.8,-12.1,57,24,25,100,Mostly Cloudy
1/2/2012 20:00,-5.6,-13.4,54,24,25,100.07,Snow Showers
1/2/2012 21:00,-5.8,-12.8,58,26,25,100.15,Snow Showers
1/2/2012 22:00,-7,-14.7,54,20,25,100.26,Cloudy
1/2/2012 23:00,-7.4,-14.1,59,17,19.3,100.27,Snow Showers
1/3/2012 0:00,-9,-16,57,28,25,100.35,Snow Showers
1/3/2012 1:00,-9.7,-17.2,54,20,25,100.43,Cloudy
1/3/2012 2:00,-10.5,-15.8,65,22,12.9,100.53,Snow Showers
1/3/2012 3:00,-11.3,-18.7,54,33,25,100.61,Snow Showers
1/3/2012 4:00,-12.6,-20.1,53,24,25,100.68,Cloudy
1/3/2012 5:00,-12.9,-19.1,60,22,25,100.76,Snow Showers
1/3/2012 6:00,-13.3,-19.3,61,19,25,100.85,Snow Showers
1/3/2012 7:00,-14,-19.5,63,19,25,100.95,Snow
1/3/2012 8:00,-14.8,-21.3,58,26,24.1,101.07,Mostly Cloudy
1/3/2012 9:00,-15,-21.9,56,19,24.1,101.2,Mostly Cloudy
1/3/2012 10:00,-15.3,-22.2,56,24,24.1,101.29,Cloudy
1/3/2012 11:00,-14.9,-22.2,54,22,24.1,101.33,Mostly Cloudy
1/3/2012 12:00,-14.9,-22.6,52,20,24.1,101.34,Mainly Clear
1/3/2012 13:00,-15.1,-22.4,54,22,24.1,101.34,Mainly Clear
1/3/2012 14:00,-14.9,-22.9,50,22,24.1,101.38,Mainly Clear
1/3/2012 15:00,-14.8,-22.2,53,19,24.1,101.44,Mainly Clear
1/3/2012 16:00,-15.3,-22.9,52,22,24.1,101.51,Mainly Clear
1/3/2012 17:00,-15.8,-23.2,53,22,24.1,101.58,Mainly Clear
1/3/2012 18:00,-16.3,-23.8,52,24,25,101.64,Mainly Clear
1/3/2012 19:00,-16.9,-24.8,50,24,25,101.74,Clear
1/3/2012 20:00,-17.3,-25.4,49,24,25,101.82,Mainly Clear
1/3/2012 21:00,-17,-24.6,52,15,25,101.86,Mostly Cloudy
1/3/2012 22:00,-17.1,-24.6,52,20,25,101.86,Mostly Cloudy
1/3/2012 23:00,-17.3,-24.2,55,17,25,101.87,Mostly Cloudy
1/4/2012 0:00,-17.5,-24.2,56,13,25,101.88,Mostly Cloudy
1/4/2012 1:00,-17.9,-24.1,58,11,25,101.86,Mainly Clear
1/4/2012 2:00,-18.1,-23.8,61,15,25,101.89,Mainly Clear
1/4/2012 3:00,-18.5,-24.6,59,13,25,101.88,Mainly Clear
1/4/2012 4:00,-18.5,-24.6,59,13,25,101.82,Mainly Clear
1/4/2012 5:00,-18.6,-24,62,9,25,101.77,Mainly Clear
1/4/2012 6:00,-18.5,-24.1,61,11,25,101.74,Cloudy
1/4/2012 7:00,-18.2,-24.1,60,11,25,101.75,Cloudy
1/4/2012 8:00,-17.8,-24.2,57,17,24.1,101.73,Mostly Cloudy
1/4/2012 9:00,-16.8,-22.5,61,9,24.1,101.68,Mostly Cloudy
1/4/2012 10:00,-15.2,-20.6,63,7,24.1,101.54,Mostly Cloudy
1/4/2012 11:00,-14.2,-21.1,56,13,24.1,101.41,Mostly Cloudy
1/4/2012 12:00,-13.7,-21.7,51,11,24.1,101.25,Snow
1/4/2012 13:00,-12.4,-20.1,53,11,24.1,101.07,Cloudy
1/4/2012 14:00,-11.3,-19,53,7,19.3,100.97,Snow
1/4/2012 15:00,-10.2,-16.3,61,11,9.7,100.89,Snow
1/4/2012 16:00,-9.4,-15.5,61,13,19.3,100.79,Snow
1/4/2012 17:00,-8.9,-13.2,71,9,4.8,100.76,Snow
1/4/2012 18:00,-8.9,-12.6,75,11,9.7,100.69,Snow
1/4/2012 19:00,-8.4,-12.7,71,9,16.1,100.65,Snow
1/4/2012 20:00,-7.8,-12.1,71,9,16.1,100.61,Snow
1/4/2012 21:00,-7.6,-11.6,73,7,11.3,100.54,Snow
1/4/2012 22:00,-9.5,-12.7,77,6,9.7,100.5,Snow
1/4/2012 23:00,-9.6,-12.6,79,6,9.7,100.42,Snow
1/5/2012 0:00,-8.8,-11.7,79,4,9.7,100.32,Snow
1/5/2012 1:00,-7.5,-10.2,81,0,9.7,100.29,Snow
1/5/2012 2:00,-5.4,-8.3,80,9,8,100.28,Snow
1/5/2012 3:00,-5,-7.7,81,11,9.7,100.24,Snow
1/5/2012 4:00,-4.1,-6.5,83,9,4.8,100.21,Snow
1/5/2012 5:00,-7,-9.5,82,4,4,100.19,Snow
1/5/2012 6:00,-8.2,-10.7,82,6,6.4,100.26,Snow
1/5/2012 7:00,-7.1,-9.7,82,9,9.7,100.31,Snow
1/5/2012 8:00,-6.1,-9.1,79,11,9.7,100.39,Snow
1/5/2012 9:00,-6.6,-10.1,76,9,24.1,100.42,Mainly Clear
1/5/2012 10:00,-6,-10,73,17,48.3,100.45,Mainly Clear
1/5/2012 11:00,-5.6,-10.2,70,22,48.3,100.41,Mainly Clear
1/5/2012 12:00,-4.7,-9.6,69,20,48.3,100.38,Mainly Clear
